model,feature,best_params,accuracy,precision,recall,f1
Logistic Regression (Tuned),ResNet,{'C': 0.1},0.44380733944954126,0.4491584782060972,0.4396825396825397,0.42255021874069487
SVM (Tuned),ResNet,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.4151376146788991,0.4299395313681028,0.4089947089947089,0.3934790481849305
Random Forest,ResNet,,0.3291284403669725,0.3304950869236583,0.3216931216931217,0.29625725244772866
Logistic Regression (Tuned),EfficientNet,{'C': 0.1},0.4793577981651376,0.48489795918367345,0.47513227513227513,0.45799949609473417
SVM (Tuned),EfficientNet,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.45756880733944955,0.47138699924414207,0.45396825396825397,0.43915893630179337
Random Forest,EfficientNet,,0.2981651376146789,0.27686845782083874,0.29417989417989415,0.26785510785510785
Logistic Regression (Tuned),ViT,{'C': 0.1},0.606651376146789,0.6172751322751323,0.602116402116402,0.5896756682470967
SVM (Tuned),ViT,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.5871559633027523,0.6160128495842782,0.5798941798941799,0.5725685425685425
Random Forest,ViT,,0.48623853211009177,0.483233230614183,0.4783068783068783,0.4547042992281088
